,Url_linked,Mentions,RT,No_ofwords,Hashtags,No_ofchars,Comma,Exclamations,Credibility
1,TRUE,FALSE,FALSE,More than 18,One,More than 135,FALSE,TRUE,HC
2,TRUE,TRUE,FALSE,More than 18,Zero,Between 91 and 135,TRUE,FALSE,HC
3,TRUE,FALSE,FALSE,More than 18,Zero,Between 91 and 135,TRUE,TRUE,NC
4,TRUE,TRUE,FALSE,More than 18,Two or more,Between 91 and 135,FALSE,FALSE,NC
5,TRUE,TRUE,FALSE,Between 11 and 18,One,Between 91 and 135,FALSE,FALSE,LC
6,TRUE,TRUE,FALSE,Between 11 and 18,One,Between 91 and 135,FALSE,FALSE,HC
7,TRUE,TRUE,FALSE,More than 18,One,Between 91 and 135,FALSE,FALSE,NC
8,TRUE,TRUE,FALSE,More than 18,Zero,More than 135,FALSE,FALSE,HC
9,TRUE,TRUE,TRUE,More than 18,One,More than 135,FALSE,FALSE,HC
10,TRUE,TRUE,FALSE,More than 18,Two or more,More than 135,FALSE,FALSE,HC
11,TRUE,FALSE,FALSE,Less than or equal to 10,Zero,90 or lesser,FALSE,FALSE,HC
12,TRUE,FALSE,FALSE,Less than or equal to 10,Zero,90 or lesser,FALSE,FALSE,HC
13,TRUE,FALSE,FALSE,Between 11 and 18,Zero,90 or lesser,FALSE,FALSE,NC
14,TRUE,FALSE,FALSE,Less than or equal to 10,Zero,90 or lesser,FALSE,FALSE,HC
15,TRUE,FALSE,FALSE,Between 11 and 18,Zero,90 or lesser,FALSE,FALSE,NC
16,TRUE,FALSE,FALSE,More than 18,Zero,Between 91 and 135,FALSE,FALSE,LC
17,TRUE,FALSE,FALSE,Between 11 and 18,Zero,90 or lesser,FALSE,FALSE,LC
18,TRUE,FALSE,FALSE,Between 11 and 18,Zero,90 or lesser,FALSE,FALSE,LC
19,TRUE,FALSE,FALSE,More than 18,One,Between 91 and 135,FALSE,TRUE,LC
20,TRUE,FALSE,FALSE,More than 18,Zero,90 or lesser,TRUE,FALSE,HC
21,TRUE,FALSE,FALSE,Between 11 and 18,Zero,90 or lesser,FALSE,FALSE,HC
