"","verified","Score1","Score2","Score3","Score4","Score5","Score6","Score7","Credibility"
"1",FALSE,1,"moderate",2,"new","moderate","low",3,"NC"
"2",FALSE,1,"low",2,"middle","high","high",1,"NC"
"3",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"4",FALSE,0,"high",2,"middle","low","high",2,"NC"
"5",FALSE,1,"high",2,"new","moderate","moderate",2,"NC"
"6",FALSE,0,"low",2,"middle","low","high",2,"LC"
"7",FALSE,0,"low",2,"middle","low","low",2,"LC"
"8",FALSE,1,"moderate",2,"new","high","low",1,"NC"
"9",FALSE,1,"low",2,"old","high","moderate",1,"NC"
"10",FALSE,0,"low",2,"middle","low","low",2,"LC"
"11",FALSE,1,"high",2,"new","moderate","high",2,"NC"
"12",FALSE,1,"high",2,"new","high","low",3,"HC"
"13",FALSE,1,"moderate",2,"new","moderate","moderate",3,"NC"
"14",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"15",FALSE,1,"moderate",2,"new","high","moderate",1,"NC"
"16",FALSE,1,"moderate",2,"new","moderate","low",1,"NC"
"17",FALSE,0,"moderate",2,"new","high","low",1,"NC"
"18",FALSE,1,"moderate",2,"new","moderate","low",1,"NC"
"19",FALSE,1,"high",2,"middle","low","moderate",2,"NC"
"20",FALSE,1,"moderate",2,"new","high","high",1,"NC"
"21",FALSE,1,"high",2,"new","high","low",3,"HC"
"22",FALSE,1,"high",2,"new","high","moderate",3,"HC"
"23",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"24",FALSE,1,"moderate",2,"new","high","moderate",1,"NC"
"25",FALSE,1,"high",2,"new","high","high",3,"HC"
"26",FALSE,1,"high",2,"new","high","moderate",3,"HC"
"27",FALSE,0,"moderate",2,"new","moderate","low",3,"NC"
"28",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"29",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"30",FALSE,1,"moderate",2,"new","low","moderate",2,"NC"
"31",FALSE,1,"high",2,"new","high","high",3,"HC"
