"","Url_linked","Mentions","RT","No_ofwords","Hashtags","No_ofchars","Comma","Exclamations"
"1",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"2",FALSE,TRUE,TRUE,"More than 18","Zero","Between 91 and 135",FALSE,FALSE
"3",FALSE,TRUE,TRUE,"More than 18","One","More than 135",TRUE,FALSE
"4",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"5",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"6",TRUE,FALSE,FALSE,"Between 11 and 18","Zero","Between 91 and 135",FALSE,FALSE
"7",FALSE,TRUE,TRUE,"More than 18","One","More than 135",TRUE,FALSE
"8",TRUE,TRUE,TRUE,"Between 11 and 18","Two or more","Between 91 and 135",FALSE,FALSE
"9",TRUE,TRUE,TRUE,"Less than or equal to 10","Zero","90 or lesser",FALSE,FALSE
"10",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"11",TRUE,FALSE,FALSE,"More than 18","Zero","Between 91 and 135",TRUE,FALSE
"12",FALSE,TRUE,TRUE,"More than 18","Two or more","More than 135",FALSE,FALSE
"13",FALSE,TRUE,TRUE,"More than 18","One","More than 135",FALSE,FALSE
"14",TRUE,FALSE,FALSE,"Between 11 and 18","Zero","90 or lesser",FALSE,TRUE
"15",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,TRUE
"16",FALSE,TRUE,TRUE,"More than 18","Zero","Between 91 and 135",FALSE,FALSE
"17",TRUE,TRUE,TRUE,"Between 11 and 18","Zero","90 or lesser",FALSE,FALSE
"18",TRUE,TRUE,TRUE,"Between 11 and 18","Zero","90 or lesser",FALSE,FALSE
"19",TRUE,TRUE,FALSE,"More than 18","Zero","More than 135",FALSE,FALSE
"20",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"21",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"22",TRUE,TRUE,FALSE,"More than 18","Zero","Between 91 and 135",FALSE,FALSE
"23",FALSE,TRUE,TRUE,"More than 18","One","More than 135",TRUE,FALSE
"24",FALSE,TRUE,TRUE,"More than 18","One","More than 135",TRUE,FALSE
"25",FALSE,TRUE,TRUE,"More than 18","Two or more","More than 135",TRUE,FALSE
"26",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"27",FALSE,TRUE,TRUE,"More than 18","One","More than 135",TRUE,FALSE
"28",TRUE,FALSE,FALSE,"More than 18","Zero","More than 135",TRUE,FALSE
"29",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"30",TRUE,FALSE,FALSE,"More than 18","Zero","More than 135",FALSE,FALSE
"31",TRUE,FALSE,FALSE,"More than 18","Zero","More than 135",TRUE,FALSE
"32",FALSE,TRUE,TRUE,"More than 18","Two or more","More than 135",FALSE,FALSE
"33",TRUE,FALSE,FALSE,"More than 18","Zero","Between 91 and 135",TRUE,FALSE
"34",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"35",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"36",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"37",FALSE,TRUE,TRUE,"More than 18","One","More than 135",TRUE,FALSE
"38",FALSE,TRUE,TRUE,"More than 18","One","More than 135",TRUE,FALSE
"39",TRUE,TRUE,FALSE,"Between 11 and 18","Zero","More than 135",TRUE,FALSE
"40",FALSE,TRUE,TRUE,"More than 18","One","More than 135",FALSE,FALSE
"41",FALSE,TRUE,TRUE,"More than 18","Two or more","More than 135",FALSE,FALSE
"42",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"43",FALSE,TRUE,TRUE,"More than 18","One","More than 135",TRUE,FALSE
"44",TRUE,FALSE,FALSE,"Between 11 and 18","Two or more","Between 91 and 135",TRUE,FALSE
"45",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"46",TRUE,FALSE,FALSE,"More than 18","Zero","More than 135",FALSE,FALSE
"47",TRUE,TRUE,TRUE,"Between 11 and 18","Zero","Between 91 and 135",FALSE,FALSE
"48",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"49",TRUE,TRUE,FALSE,"More than 18","Zero","Between 91 and 135",FALSE,FALSE
"50",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"51",TRUE,TRUE,TRUE,"More than 18","Two or more","Between 91 and 135",FALSE,FALSE
"52",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
