"","source","listed_count","verified","user_created_at","statuses_count","followers_count","friends_count"
"1","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",67,FALSE,"Sun Feb 15 01:49:11 +0000 2009",23717,846,2013
"2","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",31,FALSE,"Wed Feb 04 11:16:56 +0000 2009",29679,1198,1195
"3","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",13,FALSE,"Tue Apr 06 12:20:52 +0000 2010",15414,674,1244
"4","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,FALSE,"Tue Jun 27 10:14:52 +0000 2017",176,308,103
"5","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,FALSE,"Wed Mar 30 01:28:03 +0000 2016",527,42,155
"6","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",917,FALSE,"Fri Mar 27 17:30:52 +0000 2009",207172,8834,7911
"7","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,FALSE,"Sat Sep 17 06:43:40 +0000 2016",17853,271,1441
"8","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",8,FALSE,"Wed Mar 08 02:21:32 +0000 2017",4540,382,417
"9","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",6,FALSE,"Thu Jul 25 18:43:29 +0000 2013",30422,920,1114
"10","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,FALSE,"Sun Oct 15 13:36:36 +0000 2017",2745,62,114
"11","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",301,FALSE,"Wed Feb 22 11:28:07 +0000 2012",201822,9746,3560
"12","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",3,FALSE,"Fri Nov 04 13:57:24 +0000 2016",5286,144,264
"13","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",8,FALSE,"Mon Oct 20 15:30:53 +0000 2014",11910,783,983
"14","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",19,FALSE,"Sun Apr 12 09:15:09 +0000 2009",19998,1154,2469
"15","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",3,FALSE,"Wed Feb 20 16:41:03 +0000 2013",24779,2581,659
