"","verified","Score1","Score2","Score3","Score4","Score5","Score6","Score7"
"1",FALSE,1,"high",2,"old","high","low",3
"2",FALSE,1,"high",2,"old","high","high",3
"3",FALSE,1,"high",2,"middle","moderate","moderate",3
"4",FALSE,1,"low",2,"new","low","low",2
"5",FALSE,1,"low",2,"new","low","low",2
"6",FALSE,0,"low",2,"old","low","high",2
"7",FALSE,1,"low",2,"new","moderate","low",2
"8",FALSE,1,"moderate",2,"new","moderate","high",2
"9",FALSE,1,"moderate",2,"middle","high","high",1
"10",FALSE,1,"low",2,"new","low","moderate",2
"11",FALSE,1,"low",2,"middle","low","low",2
"12",FALSE,1,"moderate",2,"new","moderate","moderate",2
"13",FALSE,1,"moderate",2,"new","moderate","high",2
"14",FALSE,1,"high",2,"old","moderate","moderate",2
"15",FALSE,1,"moderate",2,"middle","high","low",1
"16",FALSE,1,"high",2,"old","low","high",2
"17",FALSE,1,"low",2,"new","low","low",2
"18",FALSE,1,"low",2,"new","low","high",2
"19",TRUE,1,"low",3,"old","high","low",2
"20",FALSE,1,"moderate",2,"new","moderate","high",2
"21",FALSE,1,"low",2,"new","low","low",2
"22",FALSE,1,"high",2,"old","moderate","low",2
"23",FALSE,1,"high",2,"middle","moderate","low",2
"24",FALSE,1,"moderate",2,"middle","moderate","high",2
"25",FALSE,1,"low",2,"old","low","low",2
"26",FALSE,1,"low",2,"middle","low","moderate",2
"27",FALSE,1,"high",2,"middle","low","low",2
"28",FALSE,1,"low",2,"old","high","low",1
"29",FALSE,1,"high",2,"middle","high","high",3
"30",FALSE,1,"low",2,"new","low","low",2
"31",FALSE,1,"moderate",2,"middle","moderate","low",2
"32",FALSE,1,"high",2,"middle","high","low",3
"33",FALSE,1,"high",2,"middle","moderate","high",3
"34",FALSE,1,"low",2,"new","low","low",2
"35",FALSE,1,"high",2,"middle","high","high",3
"36",FALSE,1,"low",2,"new","low","low",2
"37",FALSE,1,"moderate",2,"new","moderate","low",2
